,total_matches,total_tournaments,total_finals,total_wins,best_rank,career_span_days,avg_sets_per_match,top_10_wins,ranking_stability,wins_clay,wins_grass,wins_hard,wins_atp250,wins_atp500,wins_grand slam,wins_international,wins_international gold,wins_masters,wins_masters 1000,wins_masters cup,wins_month_1,wins_month_2,wins_month_3,wins_month_4,wins_month_5,wins_month_6,wins_month_7,wins_month_8,wins_month_9,wins_month_10,wins_month_11,wins_month_12,wins_1st_round,wins_2nd_round,wins_3rd_round,wins_4th_round,wins_quarterfinals,wins_round_robin,wins_semifinals,wins_the_final,win_rate,finals_rate
Escobedo E.,58.0,33.0,0.0,19.0,75.0,1936.0,2.473684210526316,1.0,89.01281670895231,3.0,2.0,14.0,8.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,16.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3275862068965517,0.0
Escoffier A.,1.0,1.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escude N.,175.0,68.0,5.0,107.0,18.0,1607.0,2.588785046728972,13.0,18.983611691574264,10.0,18.0,79.0,0.0,0.0,22.0,43.0,16.0,26.0,0.0,0.0,26.0,22.0,14.0,5.0,5.0,18.0,3.0,3.0,2.0,9.0,0.0,0.0,48.0,34.0,7.0,1.0,9.0,0.0,5.0,3.0,0.6114285714285714,0.02857142857142857
Estrella Burgos V.,104.0,51.0,3.0,45.0,48.0,1666.0,2.6222222222222222,1.0,52.283469897184474,32.0,4.0,9.0,28.0,9.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,18.0,0.0,7.0,3.0,3.0,8.0,3.0,1.0,1.0,0.0,0.0,26.0,9.0,0.0,0.0,4.0,0.0,3.0,3.0,0.4326923076923077,0.028846153846153848
Estrella V.,1.0,1.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Etcheverry T.,126.0,63.0,3.0,57.0,27.0,1350.0,2.6491228070175437,0.0,33.913450790536544,34.0,2.0,21.0,28.0,7.0,12.0,0.0,0.0,0.0,10.0,0.0,3.0,8.0,4.0,11.0,6.0,3.0,3.0,7.0,5.0,6.0,1.0,0.0,30.0,16.0,2.0,1.0,5.0,0.0,3.0,0.0,0.4523809523809524,0.023809523809523808
Etlis G.,29.0,21.0,0.0,11.0,119.0,1285.0,2.5454545454545454,0.0,44.61688768467234,8.0,0.0,3.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3793103448275862,0.0
Eubanks C.,100.0,53.0,1.0,40.0,29.0,2585.0,2.75,1.0,308.65139440039155,1.0,15.0,24.0,20.0,4.0,8.0,0.0,0.0,0.0,8.0,0.0,3.0,2.0,6.0,0.0,1.0,6.0,13.0,7.0,0.0,2.0,0.0,0.0,20.0,11.0,3.0,2.0,2.0,0.0,1.0,1.0,0.4,0.01
Evans B.,21.0,15.0,0.0,6.0,121.0,714.0,2.6666666666666665,0.0,134.07346659367187,0.0,4.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
Evans D.,279.0,98.0,4.0,128.0,21.0,4145.0,2.6796875,6.0,48.060426920300955,17.0,16.0,95.0,48.0,29.0,30.0,0.0,0.0,0.0,21.0,0.0,16.0,20.0,5.0,12.0,5.0,14.0,6.0,25.0,10.0,13.0,2.0,0.0,58.0,43.0,7.0,0.0,14.0,0.0,4.0,2.0,0.45878136200716846,0.014336917562724014
